,이름,주소,평점
72,뉴월드마트로 연동점,"
제주특별자치도 제주시 일주서로 7822 1층
(지번) 연동 2420
","
별점
3.4



14건
"
73,플러스마트,"
제주특별자치도 서귀포시 중산간동로 7806
(지번) 토평동 2369-1
","
별점
3.3



4건
"
74,제주동마트,"
제주특별자치도 서귀포시 성산읍 고성중앙로 89
(지번) 성산읍 고성리 1135-8
","
별점
4.0



1건
"
75,표선수산마트,"
제주특별자치도 서귀포시 표선면 표선중앙로110번길 3-4
(지번) 표선면 표선리 843
","
별점
3.5



67건
"
76,마트로 일도점,"
제주특별자치도 제주시 연수로3길 6 지하1층, 1층
(지번) 일도이동 54-6
","
별점
3.0



5건
"
77,ABC마트 ST제주롯데마트점,"
제주특별자치도 제주시 연북로 1 3층
(지번) 노형동 708-1
","
별점
5.0



1건
"
78,위미농협하나로마트 하례2리점,"
제주특별자치도 서귀포시 남원읍 하례돈야로 89
(지번) 남원읍 하례리 1367-3
","
별점
1.0



1건
"
79,마트클럽,"
제주특별자치도 제주시 오래물길 9
(지번) 도두일동 2511-1
","
별점
4.0



4건
"
80,크라운마트,"
제주특별자치도 제주시 우정로 93
(지번) 외도일동 645-2
","
별점
3.3



7건
"
81,황금마트,"
제주특별자치도 제주시 수덕11길 46
(지번) 노형동 2529-7
","
별점
4.0



4건
"
82,곽지마트,"
제주특별자치도 제주시 애월읍 일주서로 6001
(지번) 애월읍 곽지리 2053-7
","
별점
5.0



10건
"
83,한아름정육마트,"
제주특별자치도 제주시 서문로6길 6
(지번) 용담일동 143
","
별점
2.3



35건
"
84,한아름마트,"
제주특별자치도 제주시 도남로 128
(지번) 도남동 101-1
","
별점
4.8



6건
"
85,위미농협하나로마트 신례점,"
제주특별자치도 서귀포시 남원읍 신례로282번길 1
(지번) 남원읍 신례리 991-7
","
별점
3.0



1건
"
86,나우리마트,"
제주특별자치도 제주시 중앙로 573
(지번) 아라일동 6138
","
별점
4.0



6건
"
87,아라마트,"
제주특별자치도 제주시 중앙로 591-6 1,2층
(지번) 아라일동 6140-1
","
별점
5.0



2건
"
88,한림수협마트,"
제주특별자치도 제주시 한림읍 한림해안로 127 1층
(지번) 한림읍 한림리 1328-53
","
별점
4.5



6건
"
89,한림킹마트,"
제주특별자치도 제주시 한림읍 한림상로 279
(지번) 한림읍 한수리 830-4
","
별점
4.1



7건
"
90,시티마트,"
제주특별자치도 제주시 우정로11길 29
(지번) 외도일동 533-6
","
별점
4.5



4건
"
91,종합축산할인마트,"
제주특별자치도 제주시 서사로 183
(지번) 오라일동 2454-2
","
별점
4.2



5건
"
92,위미농협하나로마트 하례점,"
제주특별자치도 서귀포시 남원읍 하례중앙로 88
(지번) 남원읍 하례리 673-4
","
별점
0.0



0건
"
93,크라운마트,"
제주특별자치도 제주시 남성로 112
(지번) 삼도일동 709-7
","
별점
4.6



5건
"
94,나드리마트,"
제주특별자치도 서귀포시 동홍중앙로 77
(지번) 동홍동 93-2
","
별점
3.9



7건
"
95,삼화마트,"
제주특별자치도 제주시 화삼북로 131
(지번) 삼양이동 2332-4
","
별점
1.0



4건
"
96,유드림마트 함덕점,"
제주특별자치도 제주시 조천읍 신북로 551
(지번) 조천읍 함덕리 1002-6
","
별점
4.4



30건
"
97,해성마트,"
제주특별자치도 서귀포시 천제연로 131-8
(지번) 중문동 1489-1
","
별점
2.7



7건
"
98,애월수산마트,"
제주특별자치도 제주시 애월읍 애월해안로 182 1층
(지번) 애월읍 고내리 1240-1
","
별점
4.3



79건
"
99,명보철물건재마트,"
제주특별자치도 서귀포시 일주동로 8890
(지번) 호근동 689-5
","
별점
3.5



10건
"
100,대명홈마트,"
제주특별자치도 제주시 조천읍 신북로 576
(지번) 조천읍 함덕리 956
","
별점
3.6



17건
"
101,김녕킹마트,"
제주특별자치도 제주시 구좌읍 김녕로 124
(지번) 구좌읍 김녕리 1691-2
","
별점
4.8



12건
"
102,한림마트,"
제주특별자치도 제주시 한림읍 한림상로 90
(지번) 한림읍 동명리 1614-1
","
별점
3.0



3건
"
103,삼화드림마트,"
제주특별자치도 제주시 화삼북로 56
(지번) 도련일동 1964-2
","
별점
2.5



14건
"
104,베스트마트,"
제주특별자치도 제주시 정존1길 30
(지번) 노형동 2513-1
","
별점
4.3



4건
"
105,제주킹마트 동문지점,"
제주특별자치도 제주시 동문로20길 2
(지번) 일도이동 982-1
","
별점
3.4



5건
"
106,제일마트,"
제주특별자치도 제주시 진군남4길 7-1
(지번) 노형동 682
","
별점
2.0



10건
"
107,성산월드식자재마트,"
제주특별자치도 서귀포시 성산읍 서성일로 1231
(지번) 성산읍 고성리 1063-3
","
별점
3.5



4건
"
108,뉴월드마트 서사라점,"
제주특별자치도 제주시 평전2길 5
(지번) 삼도일동 520
","
별점
3.5



4건
"
109,스타월드식자재마트,"
제주특별자치도 서귀포시 대청로 43
(지번) 강정동 209
","
별점
3.7



7건
"
110,코리아마트 동홍점,"
제주특별자치도 서귀포시 태평로537번길 49
(지번) 동홍동 645-4
","
별점
3.5



6건
"
111,광령마트,"
제주특별자치도 제주시 애월읍 광성로 289
(지번) 애월읍 광령리 1333-1
","
별점
4.0



6건
"
