,이름,주소,평점
80,노형새마을금고 본점,"
제주특별자치도 제주시 다랑곶길 1 1층
(지번) 노형동 1280-5
","
별점
0.0



0건
"
81,NH농협은행 서귀포시청출장소,"
제주특별자치도 서귀포시 중앙로 105
(지번) 서홍동 440-1
","
별점
0.0



0건
"
82,참조은새마을금고 연동지점,"
제주특별자치도 제주시 연북로 106 상가동 101호
(지번) 연동 1494
","
별점
0.0



0건
"
83,중앙새마을금고 본점,"
제주특별자치도 제주시 동광로2길 2
(지번) 이도이동 1176-74
","
별점
0.0



0건
"
84,서홍새마을금고 본점,"
제주특별자치도 서귀포시 중산간동로 8037
(지번) 서홍동 256-2
","
별점
0.0



0건
"
85,한마음새마을금고 본점,"
제주특별자치도 제주시 애월읍 하귀로 75
(지번) 애월읍 하귀2리 1425
","
별점
0.0



0건
"
86,한국씨티은행 제주지점,"
제주특별자치도 제주시 도령로 33 현대해상빌딩 1층
(지번) 노형동 1294-5
","
별점
1.0



1건
"
87,북제주새마을금고 본점,"
제주특별자치도 제주시 한림읍 한림로 684
(지번) 한림읍 한림리 1303-4
","
별점
3.0



1건
"
88,제주새마을금고 이도지점,"
제주특별자치도 제주시 신설로 55 한일베라체 601동 104호
(지번) 이도이동 1956
","
별점
0.0



0건
"
89,동제주새마을금고 본점,"
제주특별자치도 제주시 일주동로 338
(지번) 삼양이동 2164-1
","
별점
0.0



0건
"
90,한라새마을금고 본점,"
제주특별자치도 제주시 서사로 150
(지번) 삼도일동 569-20
","
별점
0.0



0건
"
91,노형새마을금고 서부지점,"
제주특별자치도 제주시 노형로 337
(지번) 노형동 2519-23
","
별점
0.0



0건
"
92,동홍새마을금고 본점,"
제주특별자치도 서귀포시 동홍중앙로 3
(지번) 동홍동 176
","
별점
0.0



0건
"
93,하나새마을금고 본점,"
제주특별자치도 제주시 서사로 40
(지번) 삼도일동 804-1
","
별점
5.0



1건
"
94,용담새마을금고 용담2동지점,"
제주특별자치도 제주시 용문로 155
(지번) 용담이동 643
","
별점
0.0



0건
"
95,NH농협은행 제주특별자치도교육청출장소,"
제주특별자치도 제주시 문연로 5
(지번) 연동 311-46
","
별점
0.0



0건
"
96,우정새마을금고 본점,"
제주특별자치도 제주시 조천읍 신북로 216
(지번) 조천읍 조천리 2229-12
","
별점
0.0



0건
"
97,호남새마을금고 도남지점,"
제주특별자치도 제주시 청사로 85 103,105호
(지번) 도남동 663-9
","
별점
0.0



0건
"
98,제주은행 중문지점,"
제주특별자치도 서귀포시 천제연로 244
(지번) 중문동 1923-4
","
별점
3.0



2건
"
99,개인택시새마을금고 본점,"
제주특별자치도 제주시 남녕로4길 43
(지번) 연동 1951-1
","
별점
0.0



0건
"
100,강정새마을금고 본점,"
제주특별자치도 서귀포시 이어도로 567
(지번) 강정동 4416-4
","
별점
0.0



0건
"
101,하나새마을금고 중앙지점,"
제주특별자치도 제주시 연북로 33
(지번) 노형동 722
","
별점
5.0



1건
"
102,한솔새마을금고 본점,"
제주특별자치도 제주시 남광북5길 4
(지번) 이도이동 1080
","
별점
0.0



0건
"
103,제주은행 삼화출장소,"
제주특별자치도 제주시 건주로 27 2층 202호
(지번) 도련일동 1937-1
","
별점
0.0



0건
"
104,서제주새마을금고 연동지점,"
제주특별자치도 제주시 연오로 54
(지번) 연동 322-17
","
별점
0.0



0건
"
105,제주은행 서귀월드지점,"
제주특별자치도 서귀포시 일주동로 9213
(지번) 법환동 843
","
별점
3.0



1건
"
106,한빛새마을금고 본점,"
제주특별자치도 제주시 도남로 58
(지번) 도남동 52-32
","
별점
0.0



0건
"
107,제주서부새마을금고 한라대학로지점,"
제주특별자치도 제주시 한라대학로 89
(지번) 노형동 762-2
","
별점
0.0



0건
"
108,한마음새마을금고 연동지점,"
제주특별자치도 제주시 신대로 136 코스모스태홍누리안5차APT 107호
(지번) 연동 304-5
","
별점
0.0



0건
"
109,동문새마을금고 탐라지점,"
제주특별자치도 제주시 박성내동길 27 1층
(지번) 아라이동 3013-13
","
별점
0.0



0건
"
110,열린새마을금고 본점,"
제주특별자치도 제주시 관덕로13길 9
(지번) 일도일동 1355-3
","
별점
0.0



0건
"
111,서호새마을금고 본점,"
제주특별자치도 서귀포시 서호로 33
(지번) 서호동 806-11
","
별점
0.0



0건
"
112,납읍새마을금고 본점,"
제주특별자치도 제주시 애월읍 중산간서로 5507
(지번) 애월읍 납읍리 1569-14
","
별점
0.0



0건
"
113,동제주새마을금고 삼화지점,"
제주특별자치도 제주시 화삼로 55
(지번) 도련일동 1977-2
","
별점
0.0



0건
"
114,참조은새마을금고 본점,"
제주특별자치도 제주시 한림읍 일주서로 5761
(지번) 한림읍 귀덕리 3329-1
","
별점
0.0



0건
"
115,우리새마을금고 본점,"
제주특별자치도 제주시 애월읍 장전로 113
(지번) 애월읍 장전리 376-3
","
별점
5.0



1건
"
116,호남새마을금고 신제주지점,"
제주특별자치도 제주시 신광로 96
(지번) 연동 268-2
","
별점
0.0



0건
"
117,남제주새마을금고 본점,"
제주특별자치도 서귀포시 대정읍 영서중로 5-6
(지번) 대정읍 하모리 827-1
","
별점
0.0



0건
"
118,제주새마을금고 일도지점,"
제주특별자치도 제주시 신산로 8
(지번) 일도일동 1064-2
","
별점
0.0



0건
"
119,법환새마을금고 본점,"
제주특별자치도 서귀포시 이어도로 930-1
(지번) 법환동 262
","
별점
0.0



0건
"
120,제주남원동부새마을금고 본점,"
제주특별자치도 서귀포시 남원읍 태위로 654
(지번) 남원읍 남원리 139-3
","
별점
0.0



0건
"
121,곽지새마을금고 본점,"
제주특별자치도 제주시 애월읍 곽지남2길 2
(지번) 애월읍 곽지리 1957-1
","
별점
0.0



0건
"
122,제주은행 제주특별자치도지점,"
제주특별자치도 제주시 문연로 6 제2별관 1층
(지번) 연동 312-1
","
별점
0.0



0건
"
123,제주은행 제주대학병원출장소,"
제주특별자치도 제주시 아란13길 15 본관 지하1층
(지번) 아라일동 1753-3
","
별점
0.0



0건
"
124,하나새마을금고 만덕지점,"
제주특별자치도 제주시 동문로 131
(지번) 건입동 710-20
","
별점
5.0



1건
"
125,제주은행 남원점,"
제주특별자치도 서귀포시 남원읍 태위로 701
(지번) 남원읍 남원리 209-3
","
별점
0.0



0건
"
126,태흥새마을금고 본점,"
제주특별자치도 서귀포시 남원읍 태위로 928
(지번) 남원읍 태흥리 480-1
","
별점
0.0



0건
"
127,새마을금고중앙회 제주지역본부,"
제주특별자치도 제주시 해안동 2171 4층

","
별점
0.0



0건
"
128,예래동새마을금고 본점,"
제주특별자치도 서귀포시 열리로 80
(지번) 상예동 1253-1
","
별점
0.0



0건
"
129,제주은행 영업부,"
제주특별자치도 제주시 1100로 3351
(지번) 노형동 3779-1
","
별점
5.0



1건
"
130,서제주새마을금고 본점,"
제주특별자치도 제주시 애월읍 일주서로 6693
(지번) 애월읍 신엄리 1280-17
","
별점
0.0



0건
"
131,NH올100종합자산관리센터,"
제주특별자치도 제주시 신대로 110
(지번) 연동 303-1
","
별점
0.0



0건
"
132,제주은행 서귀포시청출장소,"
제주특별자치도 서귀포시 중앙로 105
(지번) 서홍동 440-1
","
별점
0.0



0건
"
133,동홍새마을금고 제2지점,"
제주특별자치도 서귀포시 중정로91번길 1
(지번) 서귀동 273-33
","
별점
0.0



0건
"
134,신례새마을금고 본점,"
제주특별자치도 서귀포시 남원읍 신례중앙로 26
(지번) 남원읍 신례리 1051-1
","
별점
0.0



0건
"
135,서귀포동부새마을금고 본점,"
제주특별자치도 서귀포시 솔동산로 12
(지번) 서귀동 608-4
","
별점
0.0



0건
"
136,하원새마을금고 본점,"
제주특별자치도 서귀포시 하원로19번길 24
(지번) 하원동 460-1
","
별점
0.0



0건
"
137,우정새마을금고 김녕지점,"
제주특별자치도 제주시 구좌읍 김녕로 83
(지번) 구좌읍 김녕리 3607
","
별점
0.0



0건
"
138,서귀포새마을금고 회수지점,"
제주특별자치도 서귀포시 중산간서로 656
(지번) 회수동 376
","
별점
0.0



0건
"
139,대포새마을금고 본점,"
제주특별자치도 서귀포시 대포로 79
(지번) 대포동 1867-1
","
별점
0.0



0건
"
140,항운노조새마을금고 본점,"
제주특별자치도 제주시 만덕로3길 2
(지번) 건입동 1274-8
","
별점
0.0



0건
"
141,제주은행 365코너 용담킹마트,"
제주특별자치도 제주시 용화로 52
(지번) 용담이동 627-28
","
별점
0.0



0건
"
142,대포새마을금고 중문지점,"
제주특별자치도 서귀포시 천제연로 237
(지번) 중문동 1909-3
","
별점
0.0



0건
"
143,남제주새마을금고 덕수지점,"
제주특별자치도 서귀포시 안덕면 덕수서로 58
(지번) 안덕면 덕수리 2240-2
","
별점
4.5



2건
"
144,제주남원동부새마을금고 고성지점,"
제주특별자치도 서귀포시 성산읍 고성오조로 72
(지번) 성산읍 고성리 308-6
","
별점
0.0



0건
"
145,의귀새마을금고 본점,"
제주특별자치도 서귀포시 남원읍 한신로 217
(지번) 남원읍 의귀리 1483-15
","
별점
0.0



0건
"
146,제주은행 제주국제컨벤션센터,"
제주특별자치도 서귀포시 중문관광로 224 제주국제컨벤션센타 1층 내국인면세점 앞
(지번) 중문동 2700
","
별점
0.0



0건
"
147,산남새마을금고 도순지점,"
제주특별자치도 서귀포시 일주서로 329
(지번) 도순동 821-1
","
별점
0.0



0건
"
148,한마음새마을금고 신촌지점,"
제주특별자치도 제주시 조천읍 신촌4길 2 에스디빌신촌2차
(지번) 조천읍 신촌리 1812-4
","
별점
0.0



0건
"
149,제주은행 남원출장소,"
제주특별자치도 서귀포시 남원읍 태위로 701 1층
(지번) 남원읍 남원리 209-3
","
별점
0.0



0건
"
150,서홍새마을금고 남부지점,"
제주특별자치도 서귀포시 일주동로 8700
(지번) 서홍동 442-15
","
별점
0.0



0건
"
151,서호새마을금고 새서귀포지점,"
제주특별자치도 서귀포시 김정문화로 57
(지번) 서호동 1476-5
","
별점
0.0



0건
"
152,서귀포동부새마을금고 상효지점,"
제주특별자치도 서귀포시 상효로 152
(지번) 상효동 910-11
","
별점
0.0



0건
"
153,동홍새마을금고 제1지점,"
제주특별자치도 서귀포시 중산간동로 8002-2 106호
(지번) 동홍동 1688
","
별점
0.0



0건
"
154,한마음새마을금고 광령지점,"
제주특별자치도 제주시 애월읍 광성로 277
(지번) 애월읍 광령리 1345-1
","
별점
0.0



0건
"
155,서귀포새마을금고 동홍지점,"
제주특별자치도 서귀포시 일주동로 8620
(지번) 동홍동 524-2
","
별점
0.0



0건
"
